Title,Date,Category,Link
"Pharmacist and Brother Convicted of $15M Medicare, Medicaid, and Private Insurer Fraud Scheme","November 8, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/pharmacist-and-brother-convicted-of-15m-medicare-medicaid-and-private-insurer-fraud-scheme/
Boise Nurse Practitioner Sentenced To 48 Months For Conspiracy To Distribute Controlled Substances,"November 7, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/boise-nurse-practitioner-sentenced-to-48-months-for-conspiracy-to-distribute-controlled-substances/
Former Traveling Nurse Pleads Guilty To Tampering With Morphine,"November 7, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-traveling-nurse-pleads-guilty-to-tampering-with-morphine/
Former Arlington Resident Sentenced To Prison For Disclosing Healthcare Records And Trying To Cover Up His Crimes,"November 7, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-arlington-resident-sentenced-to-prison-for-disclosing-healthcare-records-and-trying-to-cover-up-his-crimes/
Paroled Felon Sentenced To Six Years For Fraudulent Use Of Social Security Number And Theft Of Benefits,"November 7, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/paroled-felon-sentenced-to-six-years-for-fraudulent-use-of-social-security-number-and-theft-of-benefits/
Former Licensed Counselor Sentenced For Defrauding Medicaid,"November 6, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-licensed-counselor-sentenced-for-defrauding-medicaid/
"Macomb County Doctor And Pharmacist Agree To Pay $700,948 To Settle False Claims Act Allegations","November 4, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/macomb-county-doctor-and-pharmacist-agree-to-pay-700948-to-settle-false-claims-act-allegations/
"Rocky Hill Pharmacy And Its Owners Indicted For Conspiring To Submit False Pharmacy Claims, Making False Statements, And Aggravated Identity Theft","November 4, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/rocky-hill-pharmacy-and-its-owners-indicted-for-conspiring-to-submit-false-pharmacy-claims-making-false-statements-and-aggravated-identity-theft/
"North Texas Medical Center Pays $14.2 Million To Resolve Potential False Claims Act Liability For Self-Reported Violations Of Medicare Regs, Stark Law","November 4, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/north-texas-medical-center-pays-142-million-to-resolve-potential-false-claims-act-liability-for-self-reported-violations-of-medicare-regs-stark-law/
New England Doctor Pleads Guilty To Drug Distribution Conspiracy,"November 4, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/new-england-doctor-pleads-guilty-to-drug-distribution-conspiracy/
Attorney General Alan Wilson Announces Upstate Woman Charged With Stealing Thousands Of Dollars From Vulnerable Adult,"November 4, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-upstate-woman-charged-with-stealing-thousands-of-dollars-from-vulnerable-adult/
St. Louis County Woman Accused Of $3 Million Home Health Care Fraud,"November 1, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/st-louis-county-woman-accused-of-3-million-home-health-care-fraud/
Lab Owner And Marketing Company Owner Both Found Guilty In Multi-Million Dollar Medicare And Medicaid Fraud Scheme,"November 1, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/lab-owner-and-marketing-company-owner-both-found-guilty-in-multi-million-dollar-medicare-and-medicaid-fraud-scheme/
"Compound Ingredient Supplier Medisca Inc., To Pay $21.75M To Resolve Allegations Of False And Inflated Average Wholesale Prices For Ingredients Used In Compounded Prescriptions","November 1, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/compound-ingredient-supplier-medisca-inc-to-pay-2175m-to-resolve-allegations-of-false-and-inflated-average-wholesale-prices-for-ingredients-used-in-compounded-prescriptions/
"The New Mexico Department Of Justice Charges Former New Mexico State Police Officer With Medicaid Fraud, Identity Theft, And Practicing Medicine Without A License","November 1, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/the-new-mexico-department-of-justice-charges-former-new-mexico-state-police-officer-with-medicaid-fraud-identity-theft-and-practicing-medicine-without-a-license/
"Nashville Woman Indicted, Charged In TBI Medicaid Patient Abuse Case","November 1, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/nashville-woman-indicted-charged-in-tbi-medicaid-patient-abuse-case/
"Michael DePalma, MD and Virginia I-Spine Physicians Agreed to Pay $153,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services that Exceeded the Allowable Number of Services","October 31, 2024",CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/michael-depalma-md-and-virginia-i-spine-physicians-agreed-to-pay-153000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-that-exceeded-the-allowable-number-of-services/
"Columbus Doctor, His Clinic Convicted of $1.5 Million Medicaid Scheme","October 31, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/columbus-doctor-his-clinic-convicted-of-15-million-medicaid-scheme/
"Mercy Health Youngstown Agreed to Pay $69,000 for Allegedly Violating the Civil Monetary Penalties Law by Contracting with an Excluded Individual","October 30, 2024",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/mercy-health-youngstown-agreed-to-pay-69000-for-allegedly-violating-the-civil-monetary-penalties-law-by-contracting-with-an-excluded-individual/
"Quincy-Based Physician Group To Pay $650,000 To Resolve Allegations Of False Billing To MassHealth","October 30, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/quincy-based-physician-group-to-pay-650000-to-resolve-allegations-of-false-billing-to-masshealth/
Boise Health Care Company And Former Therapist Resolve Fraudulent Psychotherapy Billing Allegations Involving Vulnerable Refugee Population,"October 29, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/boise-health-care-company-and-former-therapist-resolve-fraudulent-psychotherapy-billing-allegations-involving-vulnerable-refugee-population/
Drug Dealer Sentenced To Nine Years In Prison For Opioid Pill Mill Scheme That Illegally Distributed More Than 1.2 Million Oxycodone Pills,"October 29, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/drug-dealer-sentenced-to-nine-years-in-prison-for-opioid-pill-mill-scheme-that-illegally-distributed-more-than-12-million-oxycodone-pills/
"Former Sioux City Plastic Surgeon Agrees To Pay Nearly $200,000 To Settle Allegations He Submitted False Claims","October 29, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-sioux-city-plastic-surgeon-agrees-to-pay-nearly-200000-to-settle-allegations-he-submitted-false-claims/
Medical Billing Company Owner Pleads Guilty To Health Care Fraud,"October 29, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/medical-billing-company-owner-pleads-guilty-to-health-care-fraud/
Doctor Sentenced For $54M Medicare Fraud Scheme,"October 29, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/doctor-sentenced-for-54m-medicare-fraud-scheme/
AG's Office Reaches Settlement With Swampscott-Based Medical Transportation Company To Resolve False Billing Allegations,"October 29, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/ags-office-reaches-settlement-with-swampscott-based-medical-transportation-company-to-resolve-false-billing-allegations/
Physician Charged In Scheme To Illegally Sell Cancer Drugs,"October 25, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/physician-charged-in-scheme-to-illegally-sell-cancer-drugs/
Washington Doctor Settles Allegations He Submitted False Claims To Federal Health Care Programs,"October 25, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/washington-doctor-settles-allegations-he-submitted-false-claims-to-federal-health-care-programs/
Tennessee Business Owner Convicted of $35M Fraud Scheme,"October 25, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/tennessee-business-owner-convicted-of-35m-fraud-scheme/
Attorney General Griffin Announces Medicaid Fraud Arrest,"October 25, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-griffin-announces-medicaid-fraud-arrest/
Arizona Doctor Sentenced To Prison For Health Care Fraud,"October 24, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/arizona-doctor-sentenced-to-prison-for-health-care-fraud/
Pharmacy Owner Sentenced For Role In $6.9 Million Scheme To Bill Insurance For Medications Not Dispensed,"October 24, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/pharmacy-owner-sentenced-for-role-in-69-million-scheme-to-bill-insurance-for-medications-not-dispensed/
"Pine Belt Mental Healthcare Resources Agreed to Pay $43,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing Excluded Individuals","October 24, 2024",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/pine-belt-mental-healthcare-resources-agreed-to-pay-43000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-excluded-individuals/
Attorney General Alan Wilson Announces Spartanburg Nurse Aide Charged With Stealing From Vulnerable Adult,"October 24, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-spartanburg-nurse-aide-charged-with-stealing-from-vulnerable-adult/
"Accura Healthcare Management Services and Accura Healthcare of Knoxville Agreed to Pay $60,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual","October 23, 2024",CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/accura-healthcare-management-services-and-accura-healthcare-of-knoxville-agreed-to-pay-60000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/
"Coliseum Medical Center Agreed to Pay $100,000 for Allegedly Violating Patient Dumping Statute by Failing to Provide Appropriate Medical Screening Examination","October 23, 2024",CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/coliseum-medical-center-agreed-to-pay-100000-for-allegedly-violating-patient-dumping-statute-by-failing-to-provide-appropriate-medical-screening-examination/
New York Doctor Charged with Health Care Fraud,"October 23, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/new-york-doctor-charged-with-health-care-fraud/
Former Eastern Kentucky Pharmacist Sentenced For Health Care Fraud,"October 23, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-eastern-kentucky-pharamacist-sentenced-for-healthcare-fraud/
"University of Texas Health Science Center at Houston Agreed to Pay $48,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims that Identified the Incorrect Rendering Provider or Did Not Meet Coverage Criteria","October 23, 2024",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/university-of-texas-health-science-center-at-houston-agreed-to-pay-48000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-that-identified-the-incorrect-rendering-provider-or-did-not-meet-coverage-criteria/
"California Mobile Phlebotomy Lab And Its Owners To Pay $135,000 To Resolve Allegedly False Claims For Blood Testing Services And Travel Mileage","October 22, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/california-mobile-phlebotomy-lab-and-its-owners-to-pay-135000-to-resolve-allegedly-false-claims-for-blood-testing-services-and-travel-mileage/
"Southeastern Renal Dialysis Agreed to Pay $238,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual","October 22, 2024",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/southeastern-renal-dialysis-agreed-to-pay-238000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/
Stamford Woman Charged In Scheme To Defraud Medicaid,"October 22, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/stamford-woman-charged-in-scheme-to-defraud-medicaid/
Attorney General James Announces Convictions of Orange County Transportation Company Owners for Stealing More Than $2.1 Million from Medicaid,"October 22, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-james-announces-convictions-of-orange-county-transportation-company-owners-for-stealing-more-than-21-million-from-medicaid/
Waterford Woman Admits Theft from Addiction and Mental Health Services Nonprofit,"October 21, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/waterford-woman-admits-theft-from-addiction-and-mental-health-services-nonprofit/
New Rochelle Physician Pleads Guilty To Selling Thousands Of Oxycodone Pills For Cash,"October 21, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/new-rochelle-physician-pleads-guilty-to-selling-thousands-of-oxycodone-pills-for-cash/
